cod_loja;data_semana_comercial;venda;yhat;APE
406;2022-05-01;572;364;36.36
406;2022-05-08;605;557;7.93
406;2022-05-15;1269;848;33.18
406;2022-05-22;1138;1070;5.98
406;2022-05-29;737;1088;47.63
406;2022-06-05;814;937;15.11
406;2022-06-12;644;791;22.83
406;2022-06-19;489;789;61.35
406;2022-08-28;1001;302;69.83
406;2022-09-04;1149;38;96.69
406;2022-09-11;1160;0;100.0
406;2022-09-18;1197;0;100.0
406;2022-09-25;1164;0;100.0
406;2022-10-02;870;0;100.0
406;2022-10-09;721;19;97.36
406;2022-10-16;492;64;86.99
407;2022-05-01;150;158;5.33
407;2022-05-08;202;153;24.26
407;2022-05-15;246;158;35.77
407;2022-05-22;107;154;43.93
407;2022-05-29;266;132;50.38
407;2022-06-05;188;100;46.81
407;2022-06-12;129;78;39.53
407;2022-06-19;89;72;19.1
407;2022-08-28;57;78;36.84
407;2022-09-04;95;34;64.21
407;2022-09-11;72;0;100.0
407;2022-09-18;68;0;100.0
407;2022-09-25;67;0;100.0
407;2022-10-02;38;0;100.0
407;2022-10-09;25;16;36.0
407;2022-10-16;7;30;328.57
